id,source_ip,dur,spkts,sbytes,sttl,swin,stcpb,dtcpb,rate,pps,ttl_ratio,tcp_diff,swin_interaction,label
137,10.0.0.5,1738340036.423806,1,831,64,42340,4245094815,0,4.780422601952906e-07,5.752614442783281e-10,3.6816732433813e-08,-4245094815.0,179737314467100.0,0
138,10.0.0.2,1738340036.423902,1,889,64,43440,2640190580,4245094816,5.114074239634053e-07,5.752614442782963e-10,3.681673243381096e-08,1604904236.0,114689878795200.0,0
139,10.0.0.5,1738340036.423938,1,887,64,83,4245094816,2640190581,5.102569010748382e-07,5.752614442782844e-10,3.68167324338102e-08,-1604904235.0,352342869728.0,0
140,10.0.0.5,1738340036.424447,1,1027,64,83,4245094816,2640190581,5.907935032736251e-07,5.752614442781159e-10,3.681673243379942e-08,-1604904235.0,352342869728.0,0
141,10.0.0.2,1738340036.424472,1,780,64,85,2640190581,4245094956,4.4870392653692396e-07,5.752614442781077e-10,3.681673243379889e-08,1604904375.0,224416199385.0,0
142,10.0.0.2,1738340036.425227,1,936,64,85,2640190581,4245094956,5.384447118440749e-07,5.752614442778578e-10,3.68167324337829e-08,1604904375.0,224416199385.0,0
143,10.0.0.2,1738340036.425323,1,891,64,85,2640190699,4245094956,5.12557946851543e-07,5.75261444277826e-10,3.6816732433780864e-08,1604904257.0,224416209415.0,0
144,10.0.0.5,1738340036.425416,1,783,64,83,4245094956,2640190699,4.504297108695137e-07,5.752614442777953e-10,3.68167324337789e-08,-1604904257.0,352342881348.0,0
145,10.0.0.5,1738340036.426831,1,944,64,83,4245094956,2640190700,5.430468033977967e-07,5.75261444277327e-10,3.681673243374893e-08,-1604904256.0,352342881348.0,0
146,10.0.0.2,1738340036.426862,1,954,64,85,2640190700,4245094957,5.487994178405602e-07,5.752614442773168e-10,3.681673243374827e-08,1604904257.0,224416209500.0,0
147,10.0.0.5,1738340036.627804,1,868,64,42340,1248583821,0,4.993269335749916e-07,5.752614442108198e-10,3.681673242949247e-08,-1248583821.0,52865038981140.0,0
148,10.0.0.3,1738340036.627936,1,864,64,43440,1105650464,1248583822,4.970258877981106e-07,5.752614442107762e-10,3.6816732429489676e-08,142933358.0,48029456156160.0,0
149,10.0.0.5,1738340036.627992,1,903,64,83,1248583822,1105650465,5.194610841223141e-07,5.752614442107577e-10,3.681673242948849e-08,-142933357.0,103632457226.0,0
150,10.0.0.5,1738340036.628552,1,1011,64,83,1248583822,1105650465,5.815893200968886e-07,5.752614442105723e-10,3.6816732429476626e-08,-142933357.0,103632457226.0,0
151,10.0.0.3,1738340036.628590,1,836,64,85,1105650465,1248583962,4.809185673600279e-07,5.752614442105597e-10,3.681673242947582e-08,142933497.0,93980289525.0,0
152,10.0.0.3,1738340036.629476,1,986,64,85,1105650465,1248583962,5.672077839913228e-07,5.752614442102665e-10,3.681673242945706e-08,142933497.0,93980289525.0,0
153,10.0.0.3,1738340036.629587,1,772,64,85,1105650583,1248583962,4.4410183493029745e-07,5.752614442102298e-10,3.681673242945471e-08,142933379.0,93980299555.0,0
154,10.0.0.5,1738340036.629691,1,831,64,83,1248583962,1105650583,4.780422601386724e-07,5.752614442101954e-10,3.6816732429452506e-08,-142933379.0,103632468846.0,0
155,10.0.0.5,1738340036.631364,1,955,64,83,1248583962,1105650584,5.493746792202078e-07,5.752614442096417e-10,3.681673242941707e-08,-142933378.0,103632468846.0,0
156,10.0.0.3,1738340036.631411,1,840,64,85,1105650584,1248583963,4.83219613136086e-07,5.752614442096262e-10,3.6816732429416077e-08,142933379.0,93980299640.0,0
157,10.0.0.5,1738340036.834267,1,814,64,42340,1367722263,0,4.6826281553199173e-07,5.752614441424959e-10,3.681673242511974e-08,-1367722263.0,57909360615420.0,0
158,10.0.0.1,1738340036.834398,1,954,64,43440,1690723776,1367722264,5.487994177118998e-07,5.752614441424526e-10,3.681673242511697e-08,-323001512.0,73445040829440.0,0
159,10.0.0.5,1738340036.834447,1,803,64,83,1367722264,1690723777,4.6193493964637643e-07,5.752614441424364e-10,3.681673242511593e-08,323001513.0,113520947912.0,0
